district,rows,mae_usd,rmse_usd,r2,mape_percent
Bektemir,68,12997.73610345616,37399.38840327407,-1.7768966322701152,22.544066425285532
Chilonzor,68,16940.416033762875,39681.801183015996,-0.6594661271071054,25.722176338402676
Mirobod,31,52143.22062132848,87692.51190997186,0.5064434055265735,36.039989266893144
Mirzo Ulugbek,42,21811.406654202456,33180.32642861087,0.548709846958505,19.594639011949948
Olmazor,86,18286.51669983092,27923.82932681653,0.48966498649417844,20.96683747825758
Sergeli,83,11365.434940105659,19475.78459116598,0.25441503871033433,18.78951263234856
Shayhontohur,112,64541.1661685761,124601.35080482565,0.6682556274925677,33.735570188178116
Uchtepa,77,13421.961637622699,19750.831748775916,0.5634821611433254,22.440540662195662
Yakkasaroy,78,37397.18290918735,60493.85366261036,0.46331218639150207,25.776184996427837
Yashnobod,59,14088.999791673863,20296.439819411917,0.5504156454340733,18.475109197158986
Yunusobod,131,27583.348034942337,42037.459520047654,0.6589973726155164,25.464221451372715
